Symbol,A017670,A000660,A010950,A010130,A000270,A004370,A003490,A011170,A005930,A003550,A007310,A005490,A015760,A018880,A012330,A000720,A005380,A004020,A009540,A008770
Symbol Name,SK텔레콤,SK하이닉스,S-Oil,고려아연,기아차,농심,대한항공,롯데케미칼,삼성전자,LG,오뚜기,POSCO,한국전력,한온시스템,현대모비스,현대건설,현대차,현대제철,현대중공업,호텔신라
Kind,SSC,SSC,SSC,SSC,SSC,SSC,SSC,SSC,SSC,SSC,SSC,SSC,SSC,SSC,SSC,SSC,SSC,SSC,SSC,SSC
Item,S410000700,S410000700,S410000700,S410000700,S410000700,S410000700,S410000700,S410000700,S410000700,S410000700,S410000700,S410000700,S410000700,S410000700,S410000700,S410000700,S410000700,S410000700,S410000700,S410000700
Item Name,수정주가(원),수정주가(원),수정주가(원),수정주가(원),수정주가(원),수정주가(원),수정주가(원),수정주가(원),수정주가(원),수정주가(원),수정주가(원),수정주가(원),수정주가(원),수정주가(원),수정주가(원),수정주가(원),수정주가(원),수정주가(원),수정주가(원),수정주가(원)
Frequency,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY
2000.1.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000.2.29,0.111111111,-0.321970121,0.038461538,-0.184,-0.334821429,-0.117032393,-0.184252985,-0.098837209,-0.082437276,-0.251250872,0.282142857,-0.161654135,-0.18443804,-0.3125,-0.34670947,-0.263550407,-0.295321637,-0.128712871,-0.134609569,0.078582435
2000.3.31,-0.142857143,0.374303441,0.084656085,0.307189542,0.118568233,0.174414201,0.354957806,-0.022580645,0.30859375,0.05508373,0.317548747,-0.044843049,0.113074205,0,0,-0.055837885,0.112033195,0.068181818,0.025406255,-0.05
2000.4.30,-0.180555556,-0.284554007,0.002439024,-0.3825,0.008,-0.030693887,-0.028610354,-0.234323432,-0.104477612,-0.193035579,-0.192389006,-0.184976526,0.031746032,0.106060606,0.01965602,0.088708245,-0.220149254,-0.331914894,-0.294117647,-0.142857143
2000.5.31,0.305084746,0,-0.087591241,-0.101214575,0.226190476,-0.25332668,-0.302945302,-0.275862069,0.026666667,-0.137242026,-0.188481675,-0.020737327,-0.067692308,-0.109589041,-0.091566265,-0.151851248,0.157894737,0.066878981,-0.074546157,-0.122807018
2000.6.30,-0.051948052,0.250002171,0.429333333,0.274774775,0.035598706,0.339552239,0.300948548,-0.110714286,0.198051948,0.013627632,-0.038709677,0.112941176,0.141914191,0.136923077,0.350132626,0.213974359,0.181818182,0.044776119,-0.004747496,-0.002
2000.7.31,-0.238356164,-0.209090151,-0.070895522,-0.151943463,0.125,-0.088679167,-0.040985418,0.002677376,-0.200542005,-0.150212751,-0.046979866,-0.069767442,-0.069364162,0.123139378,0.058939096,-0.368106453,0.045454545,0.085714286,-0.047649001,-0.118236473
2000.8.31,-0.122302158,0.166663739,0.032128514,0.25,-0.0625,0.081090328,-0.110471144,0.021361816,-0.072881356,-0.023226458,-0.021126761,-0.068181818,0.01242236,-0.007228916,0.090909091,0.134728304,0.123745819,-0.101315789,0.100011008,0.056818182
2000.9.30,0.114754098,-0.214283743,0.038910506,0.226666667,-0.096296296,0.047494461,-0.138176638,-0.130718954,-0.26142596,-0.256698544,-0.025179856,0.012195122,-0.107361963,-0.17961165,-0.136054422,-0.2558546,-0.136904762,-0.122986823,-0.090918189,0.010752688
2000.10.31,-0.108455882,-0.561756411,0.059925094,-0.184782609,0,0.025057406,-0.126521412,-0.17593985,-0.294554455,-0.194204578,-0.018450185,-0.203614458,-0.127147766,-0.204142012,-0.309055118,-0.379773309,-0.103448276,-0.32721202,-0.007485689,-0.1
2000.11.30,0.006185567,-0.021456006,-0.060070671,-0.266666667,0.229508197,0.110591472,-0.023567865,-0.005474453,0.136842105,-0.035745109,-0.045112782,0.101361573,-0.094488189,0.055762082,0.230769231,0.188407493,0,0.05707196,-0.06799024,0.035460993
2000.12.31,0.036885246,-0.411553099,0.033834586,0.031818182,-0.053333333,-0.056601437,0.1897463,0.165137615,-0.024691358,0.050943537,0.05511811,0.050824176,0.026086957,-0.301056338,0.153935185,-0.240858925,-0.069230769,0.877934272,0,0.02739726
2001.1.31,0.04743083,0.453416699,-0.2,0.233480176,0.056338028,-0.022224723,0.277210129,0.299212598,0.392405063,0.339176721,0.104477612,0.267973856,0.105932203,0.168765743,0.243731194,1.120490025,0.268595041,-0.09,0.426990361,0.018888889
2001.2.28,-0.198113208,-0.358973466,0.15,0.242857143,0.053333333,0.113649442,-0.05484058,0.117575758,-0.15,-0.078965499,-0.054054054,0.041237113,-0.01532567,0.129310345,0.125806452,-0.159094321,0.042345277,0.288461538,0.018930865,0.166848419
2001.3.31,-0.138823529,-0.158671938,0.134387352,0.17816092,-0.075949367,-0.102051362,-0.245215898,-0.132321041,0.112299465,-0.092813165,-0.071428571,-0.108910891,-0.214007782,-0.045801527,-0.088825215,-0.585587611,0.075,-0.172707889,0.040923228,-0.039252336
2001.4.30,0.237704918,0.072903715,0.134146341,-0.129268293,0.071232877,-0.077262439,0.111165285,0.025,0.100961538,-0.474755804,0.019230769,0.088888889,0.126237624,0.168,0.588050314,-0.326078632,0.197674419,0.159793814,-0.100015726,0.089494163
2001.5.31,-0.030905077,0.28213888,0.141321045,0.008403361,0.297953964,0.23153037,0.169226269,0.243902439,-0.074235808,-0.006400193,0.158490566,0.066326531,0.068131868,0.421232877,0.217821782,0.387086845,0.225728155,-0.038888889,0.053555827,0.232142857
2001.6.30,-0.127562642,-0.355991689,-0.079407806,0.091666667,0.073891626,0.024002431,-0.098699024,-0.053921569,-0.094339623,-0.345162859,-0.061889251,-0.004784689,-0.004115226,-0.03373494,0.138211382,-0.023248272,0.120792079,-0.154913295,0.156314786,0.114492754
2001.7.31,0.083550914,-0.508047025,-0.073099415,-0.150127226,-0.205504587,-0.09473181,-0.051075642,-0.064248705,-0.013020833,-0.10857461,-0.097222222,-0.151923077,-0.144628099,-0.164588529,-0.139285714,-0.503975674,-0.220848057,-0.146374829,-0.065117613,-0.196358908
2001.8.31,0.084337349,-0.39635434,0.238170347,-0.101796407,-0.016166282,0.1218886,-0.007751938,0.118493909,0.002638522,-0.130959817,0.019230769,0.026077098,0.094202899,-0.020895522,-0.029045643,0.356010428,-0.034013605,0.096153846,-0.195151887,0.084142395
2001.9.30,-0.075555556,0.066224759,0.036942675,-0.166666667,-0.167840376,0.169233766,-0.263561321,-0.138613861,-0.263157895,-0.185673215,-0.018867925,-0.108287293,-0.072847682,-0.06554878,-0.055555556,-0.135701109,-0.211267606,-0.149122807,-0.017298894,-0.134328358
2001.10.31,0.180288462,0.25990099,-0.003685504,0.048,0.183356841,-0.037826208,-0.009407526,0.034482759,0.239285714,0.247131509,0.023076923,0.102850062,-0.028571429,0.158238173,0.312217195,-0.092136115,0.238095238,0.073883162,-0.030842345,0.093103448
